Accuracy,Precision,Recall,F1-Score,AUC-ROC,ronde
0.8947,0.4532,0.8947,0.6017,0.9687,1
0.8947,0.4532,0.8947,0.6017,0.9687,2
0.8947,0.4532,0.8947,0.6017,0.9687,3
0.8947,0.4532,0.8947,0.6017,0.9687,4
0.8947,0.4532,0.8947,0.6017,0.9687,5
0.8947,0.4532,0.8947,0.6017,0.9687,6
0.8947,0.4532,0.8947,0.6017,0.9687,7
0.8947,0.4532,0.8947,0.6017,0.9687,8
0.8947,0.4532,0.8947,0.6017,0.9687,9
0.8947,0.4532,0.8947,0.6017,0.9687,10
0.8947,0.4532,0.8947,0.6017,0.9687,11
0.8947,0.4532,0.8947,0.6017,0.9687,12
0.8947,0.4532,0.8947,0.6017,0.9687,13
0.8947,0.4532,0.8947,0.6017,0.9687,14
0.8947,0.4532,0.8947,0.6017,0.9687,15
0.8947,0.4532,0.8947,0.6017,0.9687,16
0.8947,0.4532,0.8947,0.6017,0.9687,17
0.8947,0.4532,0.8947,0.6017,0.9687,18
0.8947,0.4532,0.8947,0.6017,0.9687,19
0.8947,0.4532,0.8947,0.6017,0.9687,20
